Country,Year,Life_expectancy,GDP_per_capita,Population_(historical_estimates),Continent
Mozambique,1977,43.242,2013,10738534,Africa
Myanmar,1977,51.714,1148,32026748,Asia
Namibia,1977,56.338,5984,992955,Africa
Nauru,1977,53.883,,7396,Oceania
Nepal,1977,44.885,1081,14028535,Asia
Netherlands,1977,75.047,22598,13892920,Europe
New Caledonia,1977,65.813,,137463,Oceania
New Zealand,1977,72.543,19110,3122406,Oceania
Nicaragua,1977,57.177,5247,2985480,North America
Niger,1977,37.6,1087,5491158,Africa
Nigeria,1977,44.104,2220,67203134,Africa
Niue,1977,65.967,,3684,Oceania
North Korea,1977,64.776,,16796568,Asia
North Macedonia,1977,68.355,8738,1851070,Europe
Northern Mariana Islands,1977,66.558,,15049,Oceania
Norway,1977,75.211,21399,4044335,Europe
Oman,1977,56.813,6998,977804,Asia
Pakistan,1977,55.796,1631,70958168,Asia
Palau,1977,61.327,,12646,Oceania
Palestine,1977,60.372,4439,1400121,Asia
Panama,1977,68.976,5512,1837804,North America
Papua New Guinea,1977,50.867,,3302636,Oceania
Paraguay,1977,66.481,3945,2935710,South America
Peru,1977,58.636,6626,16258323,South America
Philippines,1977,63.263,3524,43629415,Asia
Poland,1977,70.383,9483,34571226,Europe
Portugal,1977,70.217,11422,9431036,Europe
Puerto Rico,1977,73.426,11832,2945847,North America
Qatar,1977,71.644,45999,182319,Asia
Reunion,1977,67.047,,492289,Africa
Romania,1977,69.602,5048,22087896,Europe
Russia,1977,67.62,11692,135413335,Europe
Rwanda,1977,46.225,1409,4655386,Africa
Saint Barthlemy,1977,68.416,,2811,North America
Saint Helena,1977,70.563,,6397,Africa
Saint Kitts and Nevis,1977,65.025,,43944,North America
Saint Lucia,1977,66.94,3027,112685,North America
Saint Martin (French part),1977,68.38,,7713,North America
Saint Pierre and Miquelon,1977,73.252,,6103,North America
Saint Vincent and the Grenadines,1977,66.263,,97708,North America
Samoa,1977,62.41,,153218,Oceania
San Marino,1977,76.206,,20397,Europe
Sao Tome and Principe,1977,59.063,2911,88102,Africa
Saudi Arabia,1977,60.169,20824,8207695,Asia
Senegal,1977,45.767,2236,5181505,Africa
Serbia,1977,69.467,9529,8663330,Europe
Seychelles,1977,69.086,5491,62483,Africa
Sierra Leone,1977,39.268,1495,3170503,Africa
Singapore,1977,70.828,10790,2314988,Asia
Sint Maarten (Dutch part),1977,71.977,,10791,North America
Slovakia,1977,70.393,,4852494,Europe
Slovenia,1977,70.79,18595,1777315,Europe
Solomon Islands,1977,61.079,,207885,Oceania
Somalia,1977,43.639,,4802134,Africa
South Africa,1977,56.538,6623,26480915,Africa
South Korea,1977,64.895,5367.7949,36475425,Asia
South Sudan,1977,38.417,,4144551,Africa
Spain,1977,74.237,13342,36666770,Europe
Sri Lanka,1977,66.874,2582,14273495,Asia
Sudan,1977,53.946,1857,13034631,Africa
Suriname,1977,64.704,,357649,South America
Sweden,1977,75.306,22322,8250691,Europe
Switzerland,1977,75.008,25430.5674,6321816,Europe
Syria,1977,63.914,9094,8060652,Asia
Taiwan,1977,70.688,6752,17043397,Asia
Tajikistan,1977,56.604,,3586516,Asia
Tanzania,1977,49.606,993,16905222,Africa
Thailand,1977,62.986,3585,44405903,Asia
Timor,1977,32.827,,619817,Asia
Togo,1977,50.683,1543,2518454,Africa
Tokelau,1977,70.575,,1548,Oceania
Tonga,1977,66.149,,90259,Oceania
Trinidad and Tobago,1977,65.987,16412,1039210,North America
Tunisia,1977,58.928,4132,5919958,Africa
Turkey,1977,56.709,6271,41108290,Asia
Turkmenistan,1977,60.163,,2664262,Asia
Turks and Caicos Islands,1977,68.005,,7193,North America
Tuvalu,1977,57.197,,6650,Oceania
Uganda,1977,49.886,1207,11368618,Africa
Ukraine,1977,69.744,,49287118,Europe
United Arab Emirates,1977,66.545,41915,735347,Asia
United Kingdom,1977,72.926,19740,56203598,Europe
United States,1977,73.044,28001,223135659,North America
United States Virgin Islands,1977,71.011,,92688,North America
Uruguay,1977,69.484,8950,2856958,South America
Uzbekistan,1977,63.934,,14643881,Asia
Vanuatu,1977,58.249,,106206,Oceania
Vatican,1977,61.642,,730,Europe
Venezuela,1977,67.723,17693,13964377,South America
Vietnam,1977,64.547,1304,50861166,Asia
Wallis and Futuna,1977,66.069,,9918,Oceania
Western Sahara,1977,47.008,,101182,Africa
Yemen,1977,44.753,3446,7178672,Asia
Zambia,1977,52.449,1578,5287544,Africa
Zimbabwe,1977,58.47,1946,6712825,Africa
